Category ,Answers,,,,,,
Testing,"A set of test inputs, execution, and expected result developed for a particular objective.",,,,,,
Testing,A document that showing the relationship between Test Requirements and Test Cases.,,,,,,
Testing,"There are two types of approaches used:
Bottom-Up
Top-Down",,,,,,
Testing,Testing of combined parts of an application to determine if they function together correctly. Usually performed after unit and functional testing. This type of testing is especially relevant to client/server and distributed systems.,,,,,,
Testing,Performance testing focused on ensuring the application under test gracefully handles increases in workload.,,,,,,
MIS_Technical,"A device, computer program, or system that accepts the same inputs and produces the same outputs as a given system.",,,,,,
MIS_Technical,"A technique used during planning, analysis, and design; creates a functional hierarchy for the software.",,,,,,
MIS_Technical,A standard of measurement. Software metrics are the statistics describing the structure or content of a program. A metric should be a real objective measurement of something such as a number of bugs per lines of code.,,,,,,
MIS_Technical,All those planned or systematic actions necessary to provide adequate confidence that a product or service is of the type and quality needed and expected by the customer.,,,,,,
MIS_Technical,"A cause of concurrency problems. Multiple accesses to a shared resource, at least one of which is a write, with no mechanism used by either to moderate simultaneous access.",,,,,,
MIS_Technical,"A deliverable that describes all data, functional and behavioral requirements, all constraints, and all validation requirements for software.",,,,,,
MIS_Technical,An operating system is a program that acts as an intermediary between the user and the computer hardware. The purpose of an OS is to provide a convenient environment in which a user can execute programs in a convenient and efficient manner.,,,,,,
MIS_Technical,"1. Batched operating systems
2. Multi-programmed operating systems
3. timesharing operating systems
4. Distributed operating systems
5. Real-time operating systems",,,,,,
MIS_Technical,Operating system controls and coordinates the use of the hardware among the various applications programs for various uses. Operating system acts as resource allocator and manager. Also operating system is control program which controls the user programs to prevent errors and improper use of the computer. It is especially concerned with the operation and control of I/O devices.,,,,,,
MIS_Technical,The kernel is the core and essential part of a computer operating system that provides basic services for all parts of OS.,,,,,,
MIS_Technical,"The microkernel is a kernel which run services those are minimal for operating system performance. In this kernel, all other operations are performed by the processor. Macro Kernel is a combination of micro and monolithic kernel. In monolithic kernel, all operating system code is in the single executable image.",,,,,,
MIS_Technical,Deadlock is a situation or condition where the two processes are waiting for each other to complete so that they can start. This result both the processes to hang.,,,,,,
MIS_Technical,"A program in execution is called a process.
Processes are of two types:
1. Operating system processes
2. User processes",,,,,,
MIS_Technical,Starvation is Resource management problem where a process does not get the resources it needs for a long time because the resources are being allocated to other processes. Aging is a technique to avoid starvation in a scheduling system.,,,,,,
MIS_Technical,"Semaphore is a variable, whose status reports common resource, Semaphore is of two types one is Binary semaphore and other is Counting semaphore.",,,,,,
MIS_Technical,"A thread is a program line under execution. Thread sometimes called a light-weight process, is a basic unit of CPU utilization; it comprises a thread id, a program counter, a register set, and a stack.",,,,,,
MIS_Technical,Transferring control from one process to other process requires saving the state of the old process and loading the saved state for a new process. This task is known as context switching,,,,,,
MIS_Technical,"A situation, where several processes access and manipulate the same data concurrently and the outcome of the execution depends on the particular order in which the access takes place, is called a race condition. To guard against the race condition we need to ensure that only one process at a time can be manipulating the same data. The technique we use for this is called process synchronization.",,,,,,
MIS_Technical,"Virtual memory is a hardware technique where the system appears to have more memory than it actually does. This is done by time-sharing, the physical memory and storage parts of the memory one disk when they are not actively being used.",,,,,,
MIS_Technical,"It is a phenomenon in virtual memory schemes when the processor spends most of its time swapping pages, rather than executing instructions. This is due to an inordinate number of page faults.",,,,,,
MIS_Technical,When many of free blocks are too small to satisfy any request then fragmentation occurs. External fragmentation and internal fragmentation are two types of fragmentation. External Fragmentation happens when a dynamic memory allocation algorithm allocates some memory and a small piece is left over that cannot be effectively used. Internal fragmentation is the space wasted inside of allocated memory blocks because of restriction on the allowed sizes of allocated blocks.,,,,,,
MIS_Technical,"Cache memory is random access memory (RAM) that a computer microprocessor can access more quickly than it can access regular RAM. As the microprocessor processes data, it looks first in the cache memory and if it finds the data there (from a previous reading of data), it does not have to do the more time-consuming reading of data from larger memory.",,,,,,
MIS_Technical,number of processes that complete their execution per time unit,,,,,,
MIS_Technical,amount of time to execute a particular process,,,,,,
MIS_Technical, amount of time a process has been waiting in the ready queue,,,,,,
MIS_Technical,"amount of time it takes from when a request was submitted until the first
response is produced, not output (for time-sharing environment)",,,,,,
MIS_Technical,"??Network redirector/ Server
??Cache manager
??File systems
??Network driver
??Device driver",,,,,,
MIS_Technical,"In order to protect the operating systems and the system programs from the malfunctioning programs the two-mode operations were evolved: System mode, User mode.",,,,,,
MIS_Technical,The exact path from a root directory,,,,,,
MIS_Technical,Relative to the current path,,,,,,
MIS_Technical,Time taken for switching from one process to other is pure overhead. Because the system does no useful work while switching. So one of the solutions is to go for threading whenever possible.,,,,,,
MIS_Technical,can be assigned to a variety of functions by the programmer. They can be used with any machine instruction that performs operations on data. ,,,,,,
MIS_Technical,contain main memory addresses of data and instructions or they contain a portion of the address that is used in the calculation of the complete addresses.,,,,,,
MIS_Technical,"Dynamic Ram stores the data in the form of Capacitance, and Static RAM stores the data in Voltages",,,,,,
MIS_Technical,Local replacement means that an incoming page is brought in only to the relevant process' address space. Global replacement policy allows any page frame from any process to be replaced. The latter is applicable to variable partitions model only.,,,,,,
MIS_Technical,In a batched operating system the users give their jobs to the operator who sorts the programs according to their requirements and executes them. This is time-consuming but makes the CPU busy all the time.,,,,,,
MIS_Technical,"SCSI - Small computer systems interface is a type of interface used for computer components such as hard drives, optical drives, scanners, and tape drives. It is a competing technology to standard IDE (Integrated Drive Electronics). These were some of the probable questions for anyone who aims for a job in the CS sector.",,,,,,
